Lowest energy data for each cycleCycle	Lowest_Energy_REU
1149 	 34.057 
1150 	 34.057 
1151 	 34.057 
1152 	 34.057 
1153 	 34.057 
1154 	 34.057 
1155 	 34.057 
1156 	 34.057 
1157 	 34.057 
1158 	 34.057 
1159 	 34.057 
1160 	 34.057 
1161 	 34.057 
1162 	 34.057 
1163 	 34.057 
1164 	 34.057 
1165 	 34.057 
1166 	 34.057 
1167 	 34.057 
1168 	 34.057 
1169 	 34.057 
1170 	 34.057 
1171 	 34.057 
1172 	 34.057 
1173 	 34.057 
1174 	 34.057 
1175 	 34.057 
1176 	 34.057 
1177 	 34.057 
1178 	 34.057 
1179 	 34.057 
1180 	 34.057 
1181 	 34.057 
1182 	 34.057 
1183 	 34.057 
1184 	 34.057 
1185 	 34.057 
1186 	 34.057 
1187 	 34.057 
1188 	 34.057 
1189 	 34.057 
1190 	 34.057 
1191 	 34.057 
1192 	 34.057 
1193 	 34.057 
1194 	 34.057 
1195 	 34.057 
1196 	 34.057 
1197 	 34.057 
1198 	 34.057 
1199 	 34.057 
1200 	 34.057 
1201 	 34.057 
1202 	 34.057 
1203 	 34.057 
1204 	 34.057 
1205 	 34.057 
1206 	 34.057 
1207 	 34.057 
1208 	 34.057 
1209 	 34.057 
1210 	 34.057 
1211 	 34.057 
1212 	 34.057 
1213 	 34.057 
1214 	 34.057 
1215 	 34.057 
1216 	 34.057 
1217 	 34.057 
1218 	 34.057 
1219 	 34.057 
1220 	 34.057 
1221 	 34.057 
1222 	 34.057 
1223 	 34.057 
1224 	 34.057 
1225 	 34.057 
1226 	 34.057 
1227 	 34.057 
1228 	 34.057 
1229 	 34.057 
1230 	 34.057 
1231 	 34.057 
1232 	 34.057 
1233 	 34.057 
1234 	 34.057 
1235 	 34.057 
1236 	 34.057 
1237 	 34.057 
1238 	 34.057 
1239 	 34.057 
1240 	 34.057 
1241 	 34.057 
1242 	 34.057 
1243 	 34.057 
1244 	 34.057 
1245 	 34.057 
1246 	 34.057 
1247 	 34.057 
1248 	 34.057 
1249 	 34.057 
1250 	 34.057 
1251 	 34.057 
1252 	 34.057 
1253 	 34.057 
1254 	 34.057 
1255 	 34.057 
1256 	 34.057 
1257 	 34.057 
1258 	 34.057 
1259 	 34.057 
1260 	 34.057 
1261 	 34.057 
1262 	 34.057 
1263 	 34.057 
1264 	 34.057 
1265 	 34.057 
1266 	 34.057 
1267 	 34.057 
1268 	 34.057 
1269 	 34.057 
1270 	 34.057 
1271 	 34.057 
1272 	 34.057 
1273 	 34.057 
1274 	 34.057 
1275 	 34.057 
1276 	 34.057 
1277 	 34.057 
1278 	 34.057 
1279 	 34.057 
1280 	 34.057 
1281 	 34.057 
1282 	 34.057 
1283 	 34.057 
1284 	 34.057 
1285 	 34.057 
1286 	 34.057 
1287 	 34.057 
1288 	 34.057 
1289 	 34.057 
1290 	 34.057 
1291 	 34.057 
1292 	 34.057 
1293 	 34.057 
1294 	 34.057 
1295 	 34.057 
1296 	 34.057 
1297 	 34.057 
1298 	 34.057 
1299 	 34.057 
1300 	 34.057 
1301 	 34.057 
1302 	 34.057 
1303 	 34.057 
1304 	 34.057 
1305 	 34.057 
1306 	 34.057 
1307 	 34.057 
1308 	 34.057 
1309 	 34.057 
1310 	 33.385 
1311 	 33.385 
1312 	 33.385 
1313 	 33.385 
1314 	 33.385 
1315 	 33.385 
1316 	 33.385 
1317 	 33.385 
1318 	 33.385 
1319 	 33.385 
1320 	 33.385 
1321 	 33.385 
1322 	 33.385 
1323 	 33.385 
1324 	 33.385 
1325 	 33.385 
1326 	 33.385 
1327 	 33.385 
1328 	 33.385 
1329 	 33.385 
1330 	 33.385 
1331 	 33.385 
1332 	 33.385 
1333 	 33.385 
1334 	 33.385 
1335 	 33.385 
1336 	 33.385 
1337 	 33.385 
1338 	 33.385 
1339 	 33.385 
1340 	 33.385 
1341 	 33.385 
1342 	 33.385 
1343 	 33.385 
1344 	 33.385 
1345 	 33.385 
1346 	 33.385 
1347 	 33.385 
1348 	 33.385 
1349 	 33.385 
1350 	 33.385 
1351 	 33.385 
1352 	 33.385 
1353 	 33.385 
1354 	 33.385 
1355 	 33.385 
1356 	 33.385 
1357 	 33.385 
1358 	 33.385 
1359 	 33.385 
1360 	 33.385 
1361 	 33.385 
1362 	 33.385 
1363 	 33.385 
1364 	 33.385 
